aX,aY,aZ,gX,gY,gZ
0.23,-0.89,9.08,23.63,8.64,-8.58
-0.82,-0.58,8.85,20.46,17.61,2.82
-1.28,-0.26,8.94,14.49,14.74,7.39
-1.36,-0.41,9.1,6.44,12.3,8.49
-1.26,-0.53,9.02,0.83,9.8,7.45
-1.21,-0.68,8.8,-1.98,7.24,5.5
-1.06,-0.77,8.76,-1.98,4.92,5.38
-1.2,-0.69,8.8,-2.16,-4.77,7.64
-1.47,-0.85,8.85,-2.83,-12.88,2.64
-1.72,-1.14,8.98,-1.37,-17.82,-15.84
-1.61,-0.78,9.09,1.38,-20.5,-33.46
-0.78,0.28,8.51,-1.31,-15.69,-23.09
-0.82,-0.32,8.83,-6.86,-12.27,-5.11
-0.86,-0.45,8.67,-10.58,-8.13,5.99
-1.01,-0.68,8.78,33.51,6.26,8.06
-0.94,-1.29,8.9,-3.93,-5.32,-2.12
-0.9,-0.81,9.16,-1.67,-6.6,-6.27
-1.01,-0.86,8.83,4.61,-7.58,-12.12
-0.67,-0.27,8.82,6.13,-2.64,-4.07
-0.89,-0.44,8.8,6.5,-1.72,0.26
-0.93,-0.55,8.9,4.55,-4.65,2.39
-0.95,-0.67,8.83,3.08,-3.13,-0.23
-1.01,-0.64,9.03,3.14,-0.56,-4.38
-1.03,-0.71,8.87,2.72,-1.66,-5.05
-1.01,-0.58,8.77,5.52,-3.06,-1.08
-0.96,-0.69,8.86,5.03,-4.65,0.32
-1,-0.69,8.89,4.36,-4.16,-1.08
-1.04,-0.56,8.94,2.84,-1.78,-1.33
-0.99,-0.65,8.81,-0.58,-1.42,-2.36
-0.98,-0.56,8.97,3.39,-3.55,-1.94
-0.88,-0.6,9.03,3.45,-4.77,-0.6
-1.02,-0.59,9.38,5.4,-6.17,-0.35
-0.94,-0.58,9.7,5.4,-10.02,1.05
-1.18,-0.68,10.1,3.45,-11.78,1.97
-1.15,-0.77,10.4,-1.06,-5.44,0.5
-1.2,-0.68,10.52,-7.28,2.24,-0.17
-1.41,-0.65,10.83,-13.32,4.01,-0.84
-1.32,-0.57,11.05,-16,5.65,1.42
-1.64,-0.46,11.46,-20.94,2.67,2.15
-1.51,-0.45,11.57,-30.7,3.76,0.26
-1.43,-0.56,11.31,-36.31,10.35,-1.81
-1.48,-0.61,11.37,-41.79,12.54,-3.95
-1.44,-0.69,11.24,-51.25,10.35,-7.49
-1.1,-0.54,11.22,-60.58,12.12,-7.97
-0.98,-0.81,10.82,-67.22,17.12,-8.1
-1.22,-0.98,10.89,-72.4,16.14,-7.97
-1.35,-1.12,10.65,-75.45,10.65,-8.77
-1.3,-1.48,10.11,-78.38,13.46,-12.61
-1.03,-1.57,9.97,-83.93,21.14,-13.52
-1.06,-1.92,9.82,-86.86,20.35,-11.69
