aX,aY,aZ,gX,gY,gZ
-0.61,-1.04,8.77,-4.47,33.05,-7.41
-0.86,-1.36,9,-1.91,30.24,-5.58
-0.68,-1.33,8.96,-3.92,32.44,3.14
-0.87,-1.52,8.87,-5.87,33.11,6.25
-1.16,-1.56,8.91,-5.38,32.44,4.18
-1.29,-1.4,8.76,-5.75,30.79,-0.15
-1.1,-1.46,8.92,-6.24,29.94,-2.71
-1.21,-1.66,8.93,-5.69,27.99,-5.34
-1.31,-1.7,8.99,-6.6,23.6,-11.62
-1.15,-1.28,8.49,-6.24,21.28,-16.56
-0.76,-1.21,8.99,-7.33,23.23,-2.17
-1.08,-0.87,9.09,-12.03,23.66,1.49
-1.15,-1.14,8.97,-14.1,24.82,2.71
-0.11,-1.06,10.45,-11.97,34.69,8.08
-0.75,-1.38,8.18,-6.85,27.13,-0.82
-0.88,-1.91,8.95,0.84,26.34,-2.29
-1,-1.3,8.81,5.04,28.29,2.71
-1.28,-1.08,9.01,1.75,25.85,-2.84
-1.06,-1.34,8.84,0.29,26.52,-7.17
-0.95,-1.43,8.76,3.52,32.38,-6.13
-1.12,-1.39,8.66,3.7,27.74,-5.15
-1.08,-1.37,8.86,5.1,25.55,-4.85
-1.14,-1.17,8.85,3.34,27.38,-7.9
-0.96,-1.2,9.05,-1.05,28.84,-8.14
-0.95,-1.12,9.04,-0.75,27.44,-8.51
-0.75,-1.37,9.05,-2.7,25.24,-5.15
-0.85,-1.4,9.05,-3.07,26.28,-4.06
-0.95,-1.48,8.94,-5.81,28.29,-5.95
-0.89,-1.87,8.93,-5.75,28.9,-6.74
-0.84,-1.93,9.28,-5.14,26.04,-3.57
-0.76,-2.17,9.36,-5.02,26.22,2.1
-1.24,-2.76,9.58,-7.33,24.82,3.02
-1.24,-2.79,9.88,-11.24,21.83,2.04
-1.19,-3.01,9.86,-14.53,28.11,1.49
-1.42,-3.19,10.16,-22.7,35.06,-0.28
-1.6,-3.87,9.61,-27.52,38.47,-2.53
-1.62,-4.28,9.45,-31.97,41.28,-3.63
-1.9,-4.42,9.55,-35.99,42.74,-4.73
-1.95,-4.37,9.51,-39.83,43.17,-2.1
-2.17,-4.45,9.69,-40.57,39.02,-2.96
-2.2,-4.76,9.45,-44.16,34.94,-10.64
-1.77,-5.1,9.37,-45.63,26.52,-13.32
-1.2,-5.25,9.18,-44.77,25.24,-10.21
-1.13,-5.36,8.85,-40.44,36.95,-8.69
-1.01,-5.62,8.41,-36.11,55.06,-1.92
-2.32,-5.36,8.08,-31.36,57.93,-7.04
-2.47,-4.5,8.2,-30.87,38.78,-18.51
-1.58,-4.46,8.2,-35.14,37.56,-22.59
-0.78,-4.22,7.73,-42.82,55.18,-17.59
-0.89,-4.32,7.23,-50.44,72.8,-9.91
-1.51,-4.07,6.77,-50.57,62.5,-1.31
-2.05,-3.52,6.7,-40.32,18.41,-5.89
-1.14,-2.85,7.3,-22.33,-5.67,-11.62
-0.18,-2.57,7.83,-15.63,28.05,-17.53
0.26,-2.42,7.82,-18.37,81.89,-18.39
-0.39,-2.45,6.56,-12.76,119.02,-7.04
-1.6,-1.95,5.65,0.84,100.36,9.05
-2.68,-0.75,6.07,15.35,22.07,16.25
-1.87,0.38,7.48,27.12,-6.28,-0.4
0.02,0.76,8.91,29.92,71.28,-9.97
-0.42,0.65,8.86,19.74,133.66,1.55
-2.35,0.69,7.38,17.6,124.51,13.99
-3.34,0.73,6.18,37.97,65.18,23.44
-1,-1.28,7.6,62.18,41.1,16.31
-2.23,0.52,7.66,52.24,42.38,14.11
-2.69,0.53,8.62,55.47,83.05,17.41
-3.69,0.8,9,56.69,79.27,26.86
-4.55,0.8,7.99,60.04,39.39,19.91
-2.82,0.68,8.25,55.78,20.85,10.94
-1.68,0.62,9.28,52.67,35.85,15.88
-2.34,0.82,10.66,47.91,35.49,7.35
-2.39,1.3,11.8,21.81,-7.07,-19.48
-1.16,0.08,11.52,1.75,-39.82,-29.54
0.06,-0.06,9.63,-5.14,-10.67,-17.96
-0.38,0.44,8.89,-11.24,39.57,5.58
-2.01,0.11,8.94,-13.61,54.82,20.64
-3.62,0.02,8.6,-9.22,46.22,12.1
-4.13,0.09,8.25,-5.75,25.55,-4.54
-3.79,-0.13,8,-2.64,18.66,-12.78
-3.31,-0.14,8.39,-1.11,14.75,-8.32
-3.05,-0.17,8.84,-7.33,23.78,-5.15
-2.87,-0.06,9.74,-13.92,28.35,0.7
-3.13,-0.2,9.67,-21.11,28.23,-1.74
-3.3,-0.52,9.19,-19.16,32.44,-4.6
-3.65,-0.12,8.75,-12.64,34.02,-5.82
-3.57,0.47,8.53,-9.04,36.46,-12.04
-3.02,0.34,8.48,-6.11,32.07,-16.01
-2.4,0.31,9.11,-12.52,26.04,-12.71
-2.86,0.84,10.41,-36.11,8.47,-8.69
-2.51,0.72,9.33,-44.71,5.18,-14.12
-1.82,0.85,8.8,-38.61,16.95,-19.67
-1.36,1.06,8.46,-18.86,29.57,-23.51
-1.01,1.02,8.01,0.17,58.9,-23.99
-1.17,2.9,10.27,-37.64,72.07,-2.78
-2.06,2.16,10.8,-81.48,53.66,19.72
-3.77,2.11,9.21,-84.1,28.35,17.1
-3.82,2.17,8.61,-56.85,26.46,-8.87
-2.28,1.22,7.91,-17.64,53.53,-32.84
-1.26,1.16,7.88,7.18,71.77,-26.86
-3.06,1.35,8.8,2.67,36.46,-1.56
-4.35,1.89,8.18,-8.8,-23.05,8.87
-3.45,1.56,8.48,-5.26,-28.9,-6.56
-1.75,1.64,9.03,-7.76,-3.96,-14.3
-1.3,0.98,9.62,-20.87,4.51,1.74
-3.28,-0.14,8.94,-38.92,-21.4,30.82
-4.83,-0.09,8.61,-29.35,-47.13,25.21
-3.56,-0.78,8,-30.02,-40.43,-0.34
-0.12,-2.12,7.26,-30.5,-4.45,0.52
-0.03,-2.47,8.04,-21.11,9.63,35.58
-2.49,-2.86,6.52,-18.25,-13.78,54.11
-4.52,-2.07,6.83,-7.15,-50.92,51.8
-3.69,-4.41,5.86,-14.89,-32.99,25.82
-1.91,-5.04,6.73,-6.54,-26.65,14.05
-0.55,-6.94,6.14,-13.43,-25.55,15.88
-0.79,-6.68,5.96,1.87,-29.82,31.61
-1.66,-5.8,7.27,21.81,-40.73,27.71
-1.57,-4.53,8.06,29.92,-24.15,14.18
-1.1,-4.06,8.78,25.78,-4.21,2.53
-0.47,-4.45,9,26.45,-0.18,-3.93
-0.34,-4.62,9.14,26.32,-2.87,3.57
-1.16,-4.11,10.28,30.59,-7.38,3.93
-1.11,-3.92,10.54,21.39,-0.25,-11.74
-0.4,-3.56,10.49,7.85,10.85,-11.43
-0.12,-4.07,9.77,2.91,30.18,-9.97
-0.54,-3.58,9.55,3.82,46.64,-3.32
-1.21,-3.57,9.52,-3.92,39.45,-7.78
-1.17,-4.28,9.02,-7.52,37.19,-8.69
-1.25,-4.5,8.99,-0.26,38.72,-10.03
-1.4,-4.11,8.81,-3.74,40.73,-8.63
-1.55,-4.21,8.46,-0.63,38.53,-3.32
-1.57,-3.97,8.14,4.37,42.8,-5.58
-1.56,-3.17,9.29,8.82,32.44,-4.79
-1.08,-2.99,9.09,-3.07,32.25,-8.51
-0.5,-2.92,8.44,-8.43,41.77,-5.58
-0.18,-2.79,8.2,-9.77,52.68,-0.4
-0.44,-2.57,8.23,-7.46,53.23,10.27
-1.84,-0.15,-0.15,-4.35,46.89,17.1
-2.06,-2.56,7.89,3.95,26.46,11.61
-1.85,-2.12,8.22,5.29,10.85,-0.15
-1.02,-1.98,8.76,-1.11,17.13,-7.1
-2.77,-1.2,8.75,1.51,34.63,-11.01
-1.62,-1.44,9.24,-2.76,33.66,-2.23
-1.43,-1.45,8.97,-6.72,30.79,-1.8
-1.42,-1.43,8.92,-9.65,29.33,-3.63
-1.32,-1.48,8.92,-11.24,30,-6.13
-1.48,-1.63,8.6,-12.33,29.08,-10.58
-1.21,-1.98,8.58,-4.53,29.08,-10.4
-1.08,-1.51,8.58,-3.43,26.95,-6.07
-1.39,-0.91,8.85,-5.63,23.47,4.24
-1.65,-1.19,8.82,-7.09,22.93,0.03
-5.35,9.08,9.71,-109.71,19.39,-17.17
-1.67,-1.62,8.83,-9.41,24.02,-7.23
-1.31,-1.87,9.21,-7.33,28.66,-7.35
-1.15,-2.02,8.68,-0.08,31.52,-6.07
-1.23,-2.14,9.05,3.4,31.64,-2.04
-1.33,-2.07,8.98,2.54,29.08,-2.1
-1.17,-2.45,8.87,-1.24,27.32,1.55
-1.63,-2.77,8.97,-5.44,33.84,0.15
-2.31,-3.43,9.13,-10.2,36.16,-3.57
-2.23,-4.34,9.15,-13.61,30.91,-6.13
-1.99,-4.64,9.56,-18.8,27.32,-3.81
-1.86,-4.76,9.69,-27.15,33.54,0.09
-2.53,-5.15,9.36,-38,57.86,-2.47
-3.48,-5.53,9.08,-48.68,72.92,-9.67
-3.65,-6.38,8.7,-59.28,69.39,-21.8
-3.01,-6.76,8.5,-63.13,60.18,-25.15
-2.59,-7.06,7.96,-61.42,59.02,-23.75
-2.46,-7.55,7.5,-55.2,69.14,-18.75
-3.06,-7.86,7,-48.19,60.73,-14.18
-3.6,-7.48,6.9,-40.02,43.6,-15.15
-3.53,-6.85,6.49,-37.09,32.38,-28.2
-2.38,-6.61,7.44,-35.69,51.46,-35.82
-1.7,-6.3,7.48,-40.75,58.96,-28.39
-1.84,-6.33,7.18,-33.74,60.79,-15.64
-2.78,-5.32,6.33,-18.31,51.95,-14.24
-3.57,-3.33,7.71,-14.59,41.58,-28.14
-2.9,-3.37,7.83,-18.68,23.78,-46.13
-1.28,-3.01,8.19,-1.97,-3.84,-30.52
-0.44,-2.13,8.41,11.14,-6.46,-12.9
-0.77,-0.64,8.87,14.37,45.36,-2.35
-1.87,0.68,8.65,8.46,90.36,-13.75
-2.22,0.75,7.68,9.62,86.03,-17.04
-1.6,0.49,7.22,18.34,43.29,-0.03
-2.29,-0.06,6.66,36.81,17.99,11
-3.01,2.12,6.91,45.78,37.44,-0.21
-3.44,3.8,7.52,50.78,58.17,-8.14
-1.74,2.8,8.65,51.38,50.73,-1.5
-1.6,2.03,8.44,74.01,39.02,23.26
-2.02,3.13,8.86,80.1,67.32,31.61
-3.36,3.31,8.78,67.48,112.31,23.26
-4,3.82,7.9,69.92,112.62,-4.24
-4.69,3.09,9.16,51.45,32.8,-2.59
-3.18,2.06,8.81,45.78,-23.54,6.98
-2.17,0.92,9.41,46.69,-14.03,-4.73
-1.99,0.36,11.47,41.32,-9.27,-30.09
-0.48,1.03,12.64,18.89,-30.24,-41.49
1.13,0.86,10.9,-7.21,-8.54,-11.56
0.05,0.38,8.81,-15.32,40.61,16.68
-2.03,-0.22,7.66,-10.81,61.89,18.87
-3.61,-0.28,7.62,-3.13,51.34,10.21
-4.09,-0.16,7.44,7,26.71,-4.3
-3.22,-0.42,7.64,14.8,16.64,-13.39
-2.27,0.6,9.21,1.08,15.55,0.4
-2.07,-0.43,9.57,-14.77,23.47,11.19
-2.4,-0.66,8.79,-9.59,46.4,13.2
-3.11,-0.84,8.47,-6.36,51.03,10.09
-3.63,-1.09,8.07,1.45,47.13,3.63
-4.03,-0.6,8.3,7.73,44.63,-1.68
-3.87,0.02,9,-7.4,36.04,-0.95
-3.42,-0.65,8.68,-12.88,23.96,3.08
-3.07,-0.97,8.56,-11.11,21.58,-0.03
-3.05,-0.79,8.76,-7.15,32.62,-0.82
-3.21,-0.71,8.54,-3.25,46.4,-4.79
-3.43,-0.33,8.49,-0.75,45.18,-9.42
-3.58,-0.31,8.91,-3.55,33.96,-13.2
-3.06,0.04,8.7,-7.33,28.23,-14.24
-2.67,0.25,8.9,-10.99,29.21,-9.3
-2.39,0.36,8.79,-12.03,33.6,-7.96
-2.72,0.66,8.97,-5.08,42.25,-13.02
-3.51,1.39,9.21,1.32,33.41,-27.65
-3.91,2.33,9.68,7.54,-0.61,-41.62
-2.82,3.69,9.18,0.17,-25.24,-49.67
-1.06,3.05,8.98,4.37,-9.03,-51.37
0.16,3.46,9.57,4.25,26.89,-34.67
-1.14,4.6,10.65,-9.53,35.18,-4.79
-3.04,6.28,10.99,-36.36,12.62,8.5
-2.73,5.13,10.13,-71.48,8.35,0.33
-1.51,3.96,8.75,-68.07,50.06,-3.02
-2.66,4.29,9.58,-61.11,62.13,3.99
-4.88,4.85,10.21,-72.09,-2.93,13.38
-4.2,3.79,9.77,-78.37,-64.57,10.52
-1.45,3.49,8.93,-77.27,-52.5,7.77
0.66,0.29,8.76,-86.85,-7.68,19.85
-1.35,-0.38,8.23,-85.69,0.06,52.59
-4.81,-0.63,8.16,-61.36,-16.65,47.89
-4.77,0.1,7.95,-58.8,-39.27,28.32
-2.09,0.34,8.26,-58.86,-44.33,22.22
0.18,-3.09,6.84,-68.67,-10.98,30.82
-1.06,-4.59,6.2,-50.08,-7.87,51.07
-3.29,-5.68,6.66,-40.08,-41.28,42.47
-3.17,-7.5,5.86,-25.63,-53.42,33.32
-2.46,-7.16,5.67,-12.7,-37.44,15.27
-1.13,-7.44,5.81,0.47,-30.43,8.26
-0.45,-6.31,7.83,14.74,-46.34,23.63
-0.1,-6.69,9.26,18.76,-29.21,25.15
-0.16,-6.65,9.29,10.1,-25.55,29.6
0.08,-6.72,9.24,5.96,-8.78,28.5
-0.35,-6.84,9.71,1.51,5.97,29.18
-0.94,-6.4,9.8,-11.79,22.38,30.52
-1.92,-6.81,8.57,-19.04,31.89,26.43
-2.39,-6.56,7.91,-32.58,27.38,22.41
-2.42,-7.67,5.89,-26.79,21.22,18.44
-2.5,-7.82,4.79,-21.42,17.07,18.02
-3.06,-7.51,4.43,-3.98,13.96,14.48
-3.62,-6.46,4.69,-3.19,19.21,6.37
-3.45,-6.64,4.08,5.41,30.73,-3.75
-3.43,-5.6,5.27,14.74,28.78,-6.19
-2.78,-4.33,7.67,27.3,18.41,-13.39
-1.27,-2.96,10.05,15.59,22.5,-20.64
0.06,-2.92,10.09,-0.2,27.38,-17.65
0.39,-3.12,10.05,-2.7,30.73,-10.64
0.11,-3.31,8.89,-8.74,28.9,-6.07
-0.05,-3.15,8.31,-6.66,29.57,-8.14
