aX,aY,aZ,gX,gY,gZ
-6.78,-12.03,1.23,13.59,4.91,1.77
-7.65,-5.58,2.22,7.62,4.48,4.08
-7.36,-5.65,2.13,4.87,3.57,5.42
-7.21,-5.42,2.19,1.09,2.17,6.03
-7.04,-5.35,2.05,-3.12,0.09,9.75
-7.1,-5.74,1.92,-2.93,1.19,11.77
-7.23,-5.67,1.75,-2.87,0.58,13.59
-7.51,-5.56,2.08,-3.12,-2.47,12.07
-7.72,-5.27,2.55,-9.15,-3.26,6.83
-7.88,-5.32,2.63,-19.7,0.58,-3.54
-7.7,-5.25,2.28,-21.47,1.01,-8.17
-7.46,-5,2.07,-18.91,1.68,-1.65
-6.17,-4.59,1.56,-11.53,2.72,11.4
-7.41,-5.21,1.73,-7.99,3.51,8.66
-7.53,-5.51,2.07,-5.31,2.17,4.88
-7.52,-5.42,1.95,-3.36,6.01,4.63
-7.79,-5.64,2.01,1.03,6.25,-2.56
-7.65,-5.4,1.95,0.79,2.96,-3.23
-7.65,-5.36,1.98,-0.01,4.18,-1.1
-7.55,-5.37,2.04,0.05,4.55,1.16
-7.9,-5.42,1.98,-1.96,7.17,-0.37
-8.04,-5.61,2.03,-2.75,10.34,-3.17
-8.39,-5.48,1.76,-0.19,12.72,-6.22
-8.69,-5.54,1.75,-1.04,18.81,-13.29
-8.93,-5.65,1.89,-3.73,23.57,-17.87
-9.3,-5.47,1.99,-4.88,25.22,-23.54
-9.6,-5.36,2.15,-5.49,24.85,-31.22
-10.19,-5.65,2.12,-5.01,24.61,-39.88
-10.51,-5.43,1.79,-0.86,26.19,-45.49
-11.05,-4.99,1.7,1.21,31.92,-57.75
-11.25,-5.13,1.8,-2.87,31.8,-69.88
-10.95,-5.3,1.46,-8.3,23.69,-86.71
-10.47,-5.17,1.03,-9.52,14.67,-100.73
-10.02,-5.35,0.43,-5.49,21.07,-118.48
-9.84,-4.94,0.53,1.34,26.86,-131.46
-9.92,-4.57,0.9,1.95,19.54,-144.27
-9.47,-4.61,0.56,-2.02,11.86,-159.45
-8.8,-4.69,0.73,1.7,6.19,-174.33
-7.65,-5.34,0.74,2.74,-2.28,-191.22
-6.4,-5.23,0.62,6.82,-9.66,-192.56
-5.88,-5.61,0.98,10.91,-24.6,-183.72
-5.58,-5.54,1.1,13.59,-21.67,-192.99
-4.38,-5.42,1.29,16.27,-8.87,-196.83
-3.37,-5.44,1.41,16.34,7.65,-198.72
-2.7,-5.67,1.64,7.68,11.07,-198.42
-1.92,-5.92,1.11,5.66,4.24,-197.68
-0.45,-6.75,0.66,11.34,-9.54,-191.83
0.02,-6.61,1.04,12.13,-15.27,-180
0.39,-6.38,1.51,11.4,-17.34,-177.99
0.84,-5.7,1.65,9.99,-17.16,-178.9
1.91,-6.55,1.22,12.19,-12.83,-189.45
3.22,-6.42,1.1,6.03,-6,-190
4.03,-6.45,1.06,6.76,-13.99,-177.44
4.98,-6.9,0.61,10.12,-16.92,-160
5.84,-6.89,0.83,17.62,4.06,-147.68
6.25,-6.68,1.36,17.25,23.63,-133.11
5.46,-7.52,1.46,18.84,19.79,-129.51
6.1,-8.18,1.31,26.34,-7.22,-132.81
7.77,-7.82,1.7,27.55,-13.44,-121.95
8.6,-7.71,2.26,22.74,16.62,-103.36
8.35,-7.99,2.73,17.13,36.8,-83.05
7.41,-8.26,2.38,20.54,40.09,-77.68
6.71,-8.89,2.48,28.04,12.9,-78.9
7.25,-8.76,2.18,36.82,-5.58,-82.07
8.37,-8.54,2.95,25.42,-6.43,-70
9.18,-8.52,3.25,19.26,0.58,-44.27
8.62,-8.79,3.17,14.08,11.92,-27.93
7.53,-8.87,3.14,13.77,16.01,-27.32
7.5,-9.01,2.79,14.63,9.85,-25.67
7.64,-8.68,3.37,8.65,-5.09,-20.73
8.5,-8.46,3.36,7.13,-6.31,-7.87
9,-8.32,3.57,3.84,12.17,5.55
8.85,-8.58,3.37,2.01,25.7,19.63
8.3,-8.54,3.27,1.46,24,29.14
8.08,-8.69,3.21,0.91,15.83,32.31
8.37,-8.43,3.46,-0.07,11.8,40.55
8.89,-8.46,3.52,-4.09,19.42,52.56
8.99,-8.43,3.62,-9.58,26.44,70.73
8.79,-8.27,3.52,-14.27,35.09,86.76
8.34,-8.51,3.37,-15.43,39.06,99.75
7.96,-8.38,3.45,-11.53,36.56,110.06
8.05,-8.51,3.33,-2.75,36.37,118.65
7.88,-7.87,3.52,-2.32,41.92,131.76
7.35,-7.25,4.09,-20.55,31.8,150.36
6.94,-7.49,3.44,-30.37,16.13,166.34
6.67,-7.47,2.73,-31.1,13.69,177.68
6.13,-7.34,2.23,-27.08,20.89,185.97
4.99,-7.37,2.3,-20.25,20.95,196.82
3.85,-6.82,2.83,-14.94,11.5,200.91
2.81,-6.04,3.39,-18.12,6.13,202.25
1.88,-5.56,3.64,-23.3,6.62,203.17
1.55,-5.62,3.55,-32.63,10.58,205.91
0.79,-5.26,3.89,-42.44,10.4,208.65
0.26,-4.59,3.56,-52.57,-1.06,218.35
0,-4.42,2.86,-55.62,-8.87,225.85
-0.75,-3.98,2.52,-58.24,-7.16,230.3
-1.73,-3.34,2.03,-57.44,0.28,234.87
-3.24,-2.67,1.74,-60.98,9.06,225.36
-3.84,-2.18,1.38,-61.16,6.25,224.57
-4,-2.01,0.89,-60.98,-10.76,224.69
-4.65,-1.48,0.54,-68.05,-24.3,230.91
-5.35,-1.41,-0.44,-56.83,-20.94,235.6
-7.02,-0.55,-0.16,-45.55,-20.58,227.92
-8.42,-0.86,1.33,-30.55,-41.31,202.5
-8.46,-0.95,0.75,-32.38,-69.91,188.11
-8.65,-0.89,-0.37,-24.64,-63.81,185.12
-10.58,-1.42,-0.15,-5.49,-51.49,177.31
-12.03,-1.27,0.81,8.41,-61.37,150.36
-12.77,-1.28,1.5,4.02,-61.49,132.01
-13.7,-1.44,1.6,9.51,-47.95,115.18
-15.1,-2.05,1.67,13.04,-35.39,95.61
-15.46,-2.22,1.6,21.4,-36.98,73.35
-15.59,-2.22,2.41,18.53,-48.08,54.75
-15.72,-2.61,2.75,18.47,-58.5,34.02
-14.77,-3.05,2.84,29.26,-64.6,14.51
-13.72,-2.91,3.33,21.4,-48.63,-0.12
-13.06,-2.94,3.84,22.01,-38.26,-8.3
-12.45,-2.77,3.75,14.63,-36.92,-19.27
-11.28,-2.93,3.6,9.32,-38.38,-27.93
-9.97,-3.18,3.15,5.24,-31.37,-31.95
-8.66,-3.21,2.98,7.98,-16.55,-26.4
-8.32,-3.25,2.57,9.38,-0.27,-19.03
-8.46,-3.33,2.64,6.88,5.58,-19.88
-8.48,-3.43,2.69,5.6,0.58,-22.62
-7.94,-3.33,2.75,5.54,-3.08,-22.62
-7.61,-3.42,2.9,4.45,-1,-16.47
-7.33,-3.52,2.94,5.85,7.47,-11.59
-7.72,-3.46,3.17,6.46,13.94,-7.75
-7.92,-3.48,3.41,2.49,10.46,-7.5
-7.98,-3.72,3.19,3.1,1.07,-8.36
-7.55,-3.81,3.34,1.82,-2.95,-8.42
-7.32,-3.88,3.29,0.05,-2.65,-5.37
-7.44,-3.94,3.39,0.91,6.86,-6.89
-7.5,-3.7,3.64,0.36,9.3,-6.95
-7.82,-3.67,3.15,-1.41,6.8,-4.15
-7.71,-3.74,2.82,-0.68,3.02,-4.27
-7.57,-3.94,2.77,0.85,0.95,-2.56
-7.58,-3.74,2.89,1.88,5.03,-0.49
-7.8,-3.53,3.13,-0.55,8.33,-2.14
-8.02,-3.62,3.25,-0.25,4.55,-2.32
-6.02,-15.49,0.7,33.47,20.09,-6.53
-8.01,-3.72,3.19,3.71,7.29,-6.71
